rxn_src	dir	enz	protein_stoich	status	comments
ACACT142i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT142i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT143i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT143i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT143i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT160i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT160i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT160i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT160i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT161ai_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT161ai_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT161ai_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT161ai_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT161bi_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT161bi_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT161bi_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT161bi_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT162i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT162i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT162i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT163i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT163i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT163i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT180i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT180i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT180i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT180i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT181ai_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT181ai_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT181ai_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT181ai_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT182i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT182i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT182i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT183i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT183i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT183i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT200i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT200i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT200i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT200i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT220i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT220i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT220i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT220i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT240i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT240i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT240i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT240i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT260i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT260i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
