id,type,val,vLB,vUB
'FADt_c_m.f','net',9.99E-08,-10000000,10000000
'FADt_c_m.r','exc',1.310469072,0,10000000
'FBA_c.f','net',2.914744732,-10000000,10000000
'FBA_c.r','exc',4.106910298,0,10000000
'FBA3_c.f','net',3.26E-06,-10000000,10000000
'FBA3_c.r','exc',-3.16E-06,0,10000000
'FBP_c.f','net',1.529682954,0,10000000
'FDH_c.f','net',4.853960092,0,10000000
'FE2t_c_e.f','net',0.000256686,0,10000000
'FECOOR_m.f','net',30.10100241,0,10000000
'FECRq9_m.f','net',29.90842111,0,10000000
'FKYNH_c.f','net',0.602168862,0,10000000
'FORt_c_m.f','net',0.944789246,-10000000,10000000
'FORt_c_m.r','exc',31937.17613,0,10000000
'FRD_c.f','net',1.00E-07,0,10000000
'FTHFL_c.f','net',-3.286319725,-10000000,10000000
'FTHFL_c.r','exc',3.286329064,0,10000000
'FTHFL_m.f','net',-0.944789244,-10000000,10000000
'FTHFL_m.r','exc',16394310.48,0,10000000
'FUM_c.f','net',0.194518524,-10000000,10000000
'FUM_c.r','exc',7.672072827,0,10000000
'FUM_m.f','net',1.246665502,-10000000,10000000
'FUM_m.r','exc',-8.23E-05,0,10000000
'G3PAT_c.f','net',0.023727316,0,10000000
'G3PD1i_c.f','net',0.023727315,0,10000000
'G5SADr_c.f','net',0.06777436,0,10000000
'G5SADr_m.f','net',0.474063071,0,10000000
'G5SDy_c.f','net',9.98E-08,0,10000000
'G6PDH2i_c.f','net',3.366781634,0,10000000
'GALUi_c.f','net',0.478276716,0,10000000
'GAPD_c.f','net',7.015644003,-10000000,10000000
'GAPD_c.r','exc',1.00E-07,0,10000000
'GARFT_c.f','net',0.07278042,0,10000000
'GF6PTA_c.f','net',0.006256361,0,10000000
'GHMT2r_c.f','net',3.537571433,-10000000,10000000
'GHMT2r_c.r','exc',1.00E-07,0,10000000
'GHMT2r_m.f','net',-1.188608457,-10000000,10000000
'GHMT2r_m.r','exc',97.55184023,0,10000000
'GK1_c.f','net',0.044083841,0,10000000
'GK2_c.f','net',4.77E-05,0,10000000
'GLCt_c_e.f','net',5.331769297,0,10000000
'GLNS_c.f','net',0.624100442,0,10000000
